"id","muestra","feature_id","feature_type","conteo_crudo","condicion"
18,"GLDS-145_rna-seq_FLT-SA-D5","id-NC_002952.2:441050..441152","riboswitch",81,"spaceflight"
19,"GLDS-145_rna-seq_FLT-SA-B2","id-NC_002952.2:908405..908508","riboswitch",207,"spaceflight"
20,"GLDS-145_rna-seq_FLT-SA-B3","id-NC_002952.2:908405..908508","riboswitch",208,"spaceflight"
21,"GLDS-145_rna-seq_FLT-SA-B4","id-NC_002952.2:908405..908508","riboswitch",164,"spaceflight"
22,"GLDS-145_rna-seq_FLT-SA-B5","id-NC_002952.2:908405..908508","riboswitch",167,"spaceflight"
23,"GLDS-145_rna-seq_FLT-SA-D1","id-NC_002952.2:908405..908508","riboswitch",238,"spaceflight"
24,"GLDS-145_rna-seq_FLT-SA-D2","id-NC_002952.2:908405..908508","riboswitch",211,"spaceflight"
25,"GLDS-145_rna-seq_FLT-SA-D3","id-NC_002952.2:908405..908508","riboswitch",231,"spaceflight"
26,"GLDS-145_rna-seq_FLT-SA-D4","id-NC_002952.2:908405..908508","riboswitch",220,"spaceflight"
27,"GLDS-145_rna-seq_FLT-SA-D5","id-NC_002952.2:908405..908508","riboswitch",207,"spaceflight"
28,"GLDS-145_rna-seq_FLT-SA-B2","id-NC_002952.2:1036419..1036525","riboswitch",470,"spaceflight"
29,"GLDS-145_rna-seq_FLT-SA-B3","id-NC_002952.2:1036419..1036525","riboswitch",428,"spaceflight"
30,"GLDS-145_rna-seq_FLT-SA-B4","id-NC_002952.2:1036419..1036525","riboswitch",405,"spaceflight"
31,"GLDS-145_rna-seq_FLT-SA-B5","id-NC_002952.2:1036419..1036525","riboswitch",492,"spaceflight"
32,"GLDS-145_rna-seq_FLT-SA-D1","id-NC_002952.2:1036419..1036525","riboswitch",463,"spaceflight"
33,"GLDS-145_rna-seq_FLT-SA-D2","id-NC_002952.2:1036419..1036525","riboswitch",547,"spaceflight"
34,"GLDS-145_rna-seq_FLT-SA-D3","id-NC_002952.2:1036419..1036525","riboswitch",503,"spaceflight"
35,"GLDS-145_rna-seq_FLT-SA-D4","id-NC_002952.2:1036419..1036525","riboswitch",503,"spaceflight"
36,"GLDS-145_rna-seq_FLT-SA-D5","id-NC_002952.2:1036419..1036525","riboswitch",497,"spaceflight"
37,"GLDS-145_rna-seq_FLT-SA-B2","id-NC_002952.2:1098190..1098290","riboswitch",83,"spaceflight"
38,"GLDS-145_rna-seq_FLT-SA-B3","id-NC_002952.2:1098190..1098290","riboswitch",70,"spaceflight"
39,"GLDS-145_rna-seq_FLT-SA-B4","id-NC_002952.2:1098190..1098290","riboswitch",49,"spaceflight"
40,"GLDS-145_rna-seq_FLT-SA-B5","id-NC_002952.2:1098190..1098290","riboswitch",54,"spaceflight"
41,"GLDS-145_rna-seq_FLT-SA-D1","id-NC_002952.2:1098190..1098290","riboswitch",62,"spaceflight"
42,"GLDS-145_rna-seq_FLT-SA-D2","id-NC_002952.2:1098190..1098290","riboswitch",60,"spaceflight"
43,"GLDS-145_rna-seq_FLT-SA-D3","id-NC_002952.2:1098190..1098290","riboswitch",53,"spaceflight"
44,"GLDS-145_rna-seq_FLT-SA-D4","id-NC_002952.2:1098190..1098290","riboswitch",64,"spaceflight"
45,"GLDS-145_rna-seq_FLT-SA-D5","id-NC_002952.2:1098190..1098290","riboswitch",61,"spaceflight"
46,"GLDS-145_rna-seq_FLT-SA-B2","id-NC_002952.2:1463346..1463521","riboswitch",81,"spaceflight"
47,"GLDS-145_rna-seq_FLT-SA-B3","id-NC_002952.2:1463346..1463521","riboswitch",82,"spaceflight"
48,"GLDS-145_rna-seq_FLT-SA-B4","id-NC_002952.2:1463346..1463521","riboswitch",68,"spaceflight"
49,"GLDS-145_rna-seq_FLT-SA-B5","id-NC_002952.2:1463346..1463521","riboswitch",45,"spaceflight"
50,"GLDS-145_rna-seq_FLT-SA-D1","id-NC_002952.2:1463346..1463521","riboswitch",84,"spaceflight"
51,"GLDS-145_rna-seq_FLT-SA-D2","id-NC_002952.2:1463346..1463521","riboswitch",103,"spaceflight"
52,"GLDS-145_rna-seq_FLT-SA-D3","id-NC_002952.2:1463346..1463521","riboswitch",96,"spaceflight"
53,"GLDS-145_rna-seq_FLT-SA-D4","id-NC_002952.2:1463346..1463521","riboswitch",74,"spaceflight"
54,"GLDS-145_rna-seq_FLT-SA-D5","id-NC_002952.2:1463346..1463521","riboswitch",80,"spaceflight"
55,"GLDS-145_rna-seq_FLT-SA-B2","id-NC_002952.2:1588874..1589008","riboswitch",2015,"spaceflight"
56,"GLDS-145_rna-seq_FLT-SA-B3","id-NC_002952.2:1588874..1589008","riboswitch",1934,"spaceflight"
57,"GLDS-145_rna-seq_FLT-SA-B4","id-NC_002952.2:1588874..1589008","riboswitch",1553,"spaceflight"
58,"GLDS-145_rna-seq_FLT-SA-B5","id-NC_002952.2:1588874..1589008","riboswitch",2226,"spaceflight"
59,"GLDS-145_rna-seq_FLT-SA-D1","id-NC_002952.2:1588874..1589008","riboswitch",2205,"spaceflight"
60,"GLDS-145_rna-seq_FLT-SA-D2","id-NC_002952.2:1588874..1589008","riboswitch",1992,"spaceflight"
61,"GLDS-145_rna-seq_FLT-SA-D3","id-NC_002952.2:1588874..1589008","riboswitch",2207,"spaceflight"
62,"GLDS-145_rna-seq_FLT-SA-D4","id-NC_002952.2:1588874..1589008","riboswitch",1688,"spaceflight"
63,"GLDS-145_rna-seq_FLT-SA-D5","id-NC_002952.2:1588874..1589008","riboswitch",1774,"spaceflight"
64,"GLDS-145_rna-seq_FLT-SA-B2","id-NC_002952.2:1687634..1687731","riboswitch",395,"spaceflight"
65,"GLDS-145_rna-seq_FLT-SA-B3","id-NC_002952.2:1687634..1687731","riboswitch",393,"spaceflight"
66,"GLDS-145_rna-seq_FLT-SA-B4","id-NC_002952.2:1687634..1687731","riboswitch",327,"spaceflight"
67,"GLDS-145_rna-seq_FLT-SA-B5","id-NC_002952.2:1687634..1687731","riboswitch",350,"spaceflight"
68,"GLDS-145_rna-seq_FLT-SA-D1","id-NC_002952.2:1687634..1687731","riboswitch",439,"spaceflight"
69,"GLDS-145_rna-seq_FLT-SA-D2","id-NC_002952.2:1687634..1687731","riboswitch",419,"spaceflight"
70,"GLDS-145_rna-seq_FLT-SA-D3","id-NC_002952.2:1687634..1687731","riboswitch",448,"spaceflight"
71,"GLDS-145_rna-seq_FLT-SA-D4","id-NC_002952.2:1687634..1687731","riboswitch",389,"spaceflight"
72,"GLDS-145_rna-seq_FLT-SA-D5","id-NC_002952.2:1687634..1687731","riboswitch",477,"spaceflight"
73,"GLDS-145_rna-seq_FLT-SA-B2","id-NC_002952.2:1824382..1824557","riboswitch",708,"spaceflight"
74,"GLDS-145_rna-seq_FLT-SA-B3","id-NC_002952.2:1824382..1824557","riboswitch",784,"spaceflight"
75,"GLDS-145_rna-seq_FLT-SA-B4","id-NC_002952.2:1824382..1824557","riboswitch",735,"spaceflight"
76,"GLDS-145_rna-seq_FLT-SA-B5","id-NC_002952.2:1824382..1824557","riboswitch",594,"spaceflight"
77,"GLDS-145_rna-seq_FLT-SA-D1","id-NC_002952.2:1824382..1824557","riboswitch",721,"spaceflight"
78,"GLDS-145_rna-seq_FLT-SA-D2","id-NC_002952.2:1824382..1824557","riboswitch",886,"spaceflight"
79,"GLDS-145_rna-seq_FLT-SA-D3","id-NC_002952.2:1824382..1824557","riboswitch",756,"spaceflight"
80,"GLDS-145_rna-seq_FLT-SA-D4","id-NC_002952.2:1824382..1824557","riboswitch",891,"spaceflight"
81,"GLDS-145_rna-seq_FLT-SA-D5","id-NC_002952.2:1824382..1824557","riboswitch",820,"spaceflight"
82,"GLDS-145_rna-seq_FLT-SA-B2","id-NC_002952.2:1943687..1943822","riboswitch",1731,"spaceflight"
83,"GLDS-145_rna-seq_FLT-SA-B3","id-NC_002952.2:1943687..1943822","riboswitch",1694,"spaceflight"
84,"GLDS-145_rna-seq_FLT-SA-B4","id-NC_002952.2:1943687..1943822","riboswitch",1373,"spaceflight"
85,"GLDS-145_rna-seq_FLT-SA-B5","id-NC_002952.2:1943687..1943822","riboswitch",1470,"spaceflight"
86,"GLDS-145_rna-seq_FLT-SA-D1","id-NC_002952.2:1943687..1943822","riboswitch",1903,"spaceflight"
87,"GLDS-145_rna-seq_FLT-SA-D2","id-NC_002952.2:1943687..1943822","riboswitch",1892,"spaceflight"
88,"GLDS-145_rna-seq_FLT-SA-D3","id-NC_002952.2:1943687..1943822","riboswitch",1855,"spaceflight"
89,"GLDS-145_rna-seq_FLT-SA-D4","id-NC_002952.2:1943687..1943822","riboswitch",1864,"spaceflight"
90,"GLDS-145_rna-seq_FLT-SA-D5","id-NC_002952.2:1943687..1943822","riboswitch",1783,"spaceflight"
91,"GLDS-145_rna-seq_FLT-SA-B2","id-NC_002952.2:1958937..1959048","riboswitch",332,"spaceflight"
92,"GLDS-145_rna-seq_FLT-SA-B3","id-NC_002952.2:1958937..1959048","riboswitch",384,"spaceflight"
93,"GLDS-145_rna-seq_FLT-SA-B4","id-NC_002952.2:1958937..1959048","riboswitch",357,"spaceflight"
94,"GLDS-145_rna-seq_FLT-SA-B5","id-NC_002952.2:1958937..1959048","riboswitch",354,"spaceflight"
95,"GLDS-145_rna-seq_FLT-SA-D1","id-NC_002952.2:1958937..1959048","riboswitch",345,"spaceflight"
96,"GLDS-145_rna-seq_FLT-SA-D2","id-NC_002952.2:1958937..1959048","riboswitch",406,"spaceflight"
97,"GLDS-145_rna-seq_FLT-SA-D3","id-NC_002952.2:1958937..1959048","riboswitch",345,"spaceflight"
98,"GLDS-145_rna-seq_FLT-SA-D4","id-NC_002952.2:1958937..1959048","riboswitch",409,"spaceflight"
99,"GLDS-145_rna-seq_FLT-SA-D5","id-NC_002952.2:1958937..1959048","riboswitch",319,"spaceflight"
100,"GLDS-145_rna-seq_FLT-SA-B2","id-NC_002952.2:2253957..2254059","riboswitch",42,"spaceflight"
101,"GLDS-145_rna-seq_FLT-SA-B3","id-NC_002952.2:2253957..2254059","riboswitch",88,"spaceflight"
102,"GLDS-145_rna-seq_FLT-SA-B4","id-NC_002952.2:2253957..2254059","riboswitch",58,"spaceflight"
103,"GLDS-145_rna-seq_FLT-SA-B5","id-NC_002952.2:2253957..2254059","riboswitch",66,"spaceflight"
104,"GLDS-145_rna-seq_FLT-SA-D1","id-NC_002952.2:2253957..2254059","riboswitch",71,"spaceflight"
105,"GLDS-145_rna-seq_FLT-SA-D2","id-NC_002952.2:2253957..2254059","riboswitch",95,"spaceflight"
106,"GLDS-145_rna-seq_FLT-SA-D3","id-NC_002952.2:2253957..2254059","riboswitch",104,"spaceflight"
107,"GLDS-145_rna-seq_FLT-SA-D4","id-NC_002952.2:2253957..2254059","riboswitch",97,"spaceflight"
108,"GLDS-145_rna-seq_FLT-SA-D5","id-NC_002952.2:2253957..2254059","riboswitch",104,"spaceflight"
109,"GLDS-145_rna-seq_FLT-SA-B2","id-NC_002952.2:2480682..2480777","riboswitch",118,"spaceflight"
110,"GLDS-145_rna-seq_FLT-SA-B3","id-NC_002952.2:2480682..2480777","riboswitch",92,"spaceflight"
111,"GLDS-145_rna-seq_FLT-SA-B4","id-NC_002952.2:2480682..2480777","riboswitch",105,"spaceflight"
112,"GLDS-145_rna-seq_FLT-SA-B5","id-NC_002952.2:2480682..2480777","riboswitch",116,"spaceflight"
113,"GLDS-145_rna-seq_FLT-SA-D1","id-NC_002952.2:2480682..2480777","riboswitch",107,"spaceflight"
114,"GLDS-145_rna-seq_FLT-SA-D2","id-NC_002952.2:2480682..2480777","riboswitch",108,"spaceflight"
115,"GLDS-145_rna-seq_FLT-SA-D3","id-NC_002952.2:2480682..2480777","riboswitch",103,"spaceflight"
116,"GLDS-145_rna-seq_FLT-SA-D4","id-NC_002952.2:2480682..2480777","riboswitch",84,"spaceflight"
117,"GLDS-145_rna-seq_FLT-SA-D5","id-NC_002952.2:2480682..2480777","riboswitch",118,"spaceflight"
118,"GLDS-145_rna-seq_FLT-SA-B2","gene-SAR_RS00005","gene",8305,"spaceflight"
119,"GLDS-145_rna-seq_FLT-SA-B3","gene-SAR_RS00005","gene",9292,"spaceflight"
120,"GLDS-145_rna-seq_FLT-SA-B4","gene-SAR_RS00005","gene",7541,"spaceflight"
121,"GLDS-145_rna-seq_FLT-SA-B5","gene-SAR_RS00005","gene",7364,"spaceflight"
122,"GLDS-145_rna-seq_FLT-SA-D1","gene-SAR_RS00005","gene",8645,"spaceflight"
123,"GLDS-145_rna-seq_FLT-SA-D2","gene-SAR_RS00005","gene",9216,"spaceflight"
124,"GLDS-145_rna-seq_FLT-SA-D3","gene-SAR_RS00005","gene",8204,"spaceflight"
125,"GLDS-145_rna-seq_FLT-SA-D4","gene-SAR_RS00005","gene",8166,"spaceflight"
126,"GLDS-145_rna-seq_FLT-SA-D5","gene-SAR_RS00005","gene",8864,"spaceflight"
127,"GLDS-145_rna-seq_FLT-SA-B2","gene-SAR_RS00010","gene",7630,"spaceflight"
128,"GLDS-145_rna-seq_FLT-SA-B3","gene-SAR_RS00010","gene",8970,"spaceflight"
129,"GLDS-145_rna-seq_FLT-SA-B4","gene-SAR_RS00010","gene",7401,"spaceflight"
130,"GLDS-145_rna-seq_FLT-SA-B5","gene-SAR_RS00010","gene",7923,"spaceflight"
131,"GLDS-145_rna-seq_FLT-SA-D1","gene-SAR_RS00010","gene",8386,"spaceflight"
132,"GLDS-145_rna-seq_FLT-SA-D2","gene-SAR_RS00010","gene",9277,"spaceflight"
133,"GLDS-145_rna-seq_FLT-SA-D3","gene-SAR_RS00010","gene",8500,"spaceflight"
134,"GLDS-145_rna-seq_FLT-SA-D4","gene-SAR_RS00010","gene",7948,"spaceflight"
135,"GLDS-145_rna-seq_FLT-SA-D5","gene-SAR_RS00010","gene",8167,"spaceflight"
136,"GLDS-145_rna-seq_FLT-SA-B2","gene-SAR_RS00015","gene",1089,"spaceflight"
137,"GLDS-145_rna-seq_FLT-SA-B3","gene-SAR_RS00015","gene",927,"spaceflight"
138,"GLDS-145_rna-seq_FLT-SA-B4","gene-SAR_RS00015","gene",967,"spaceflight"
139,"GLDS-145_rna-seq_FLT-SA-B5","gene-SAR_RS00015","gene",706,"spaceflight"
140,"GLDS-145_rna-seq_FLT-SA-D1","gene-SAR_RS00015","gene",1083,"spaceflight"
141,"GLDS-145_rna-seq_FLT-SA-D2","gene-SAR_RS00015","gene",1118,"spaceflight"
142,"GLDS-145_rna-seq_FLT-SA-D3","gene-SAR_RS00015","gene",731,"spaceflight"
143,"GLDS-145_rna-seq_FLT-SA-D4","gene-SAR_RS00015","gene",1058,"spaceflight"
144,"GLDS-145_rna-seq_FLT-SA-D5","gene-SAR_RS00015","gene",1087,"spaceflight"
145,"GLDS-145_rna-seq_FLT-SA-B2","gene-SAR_RS00020","gene",7227,"spaceflight"
146,"GLDS-145_rna-seq_FLT-SA-B3","gene-SAR_RS00020","gene",7266,"spaceflight"
147,"GLDS-145_rna-seq_FLT-SA-B4","gene-SAR_RS00020","gene",6696,"spaceflight"
148,"GLDS-145_rna-seq_FLT-SA-B5","gene-SAR_RS00020","gene",4711,"spaceflight"
149,"GLDS-145_rna-seq_FLT-SA-D1","gene-SAR_RS00020","gene",6912,"spaceflight"
150,"GLDS-145_rna-seq_FLT-SA-D2","gene-SAR_RS00020","gene",8218,"spaceflight"
151,"GLDS-145_rna-seq_FLT-SA-D3","gene-SAR_RS00020","gene",4787,"spaceflight"
152,"GLDS-145_rna-seq_FLT-SA-D4","gene-SAR_RS00020","gene",7514,"spaceflight"
153,"GLDS-145_rna-seq_FLT-SA-D5","gene-SAR_RS00020","gene",7469,"spaceflight"
154,"GLDS-145_rna-seq_FLT-SA-B2","gene-SAR_RS00025","gene",11470,"spaceflight"
155,"GLDS-145_rna-seq_FLT-SA-B3","gene-SAR_RS00025","gene",11043,"spaceflight"
156,"GLDS-145_rna-seq_FLT-SA-B4","gene-SAR_RS00025","gene",10466,"spaceflight"
157,"GLDS-145_rna-seq_FLT-SA-B5","gene-SAR_RS00025","gene",8798,"spaceflight"
158,"GLDS-145_rna-seq_FLT-SA-D1","gene-SAR_RS00025","gene",12179,"spaceflight"
159,"GLDS-145_rna-seq_FLT-SA-D2","gene-SAR_RS00025","gene",12336,"spaceflight"
160,"GLDS-145_rna-seq_FLT-SA-D3","gene-SAR_RS00025","gene",9313,"spaceflight"
161,"GLDS-145_rna-seq_FLT-SA-D4","gene-SAR_RS00025","gene",10878,"spaceflight"
162,"GLDS-145_rna-seq_FLT-SA-D5","gene-SAR_RS00025","gene",13130,"spaceflight"
163,"GLDS-145_rna-seq_FLT-SA-B2","gene-SAR_RS00030","gene",13276,"spaceflight"
164,"GLDS-145_rna-seq_FLT-SA-B3","gene-SAR_RS00030","gene",13498,"spaceflight"
165,"GLDS-145_rna-seq_FLT-SA-B4","gene-SAR_RS00030","gene",13055,"spaceflight"
166,"GLDS-145_rna-seq_FLT-SA-B5","gene-SAR_RS00030","gene",14555,"spaceflight"
167,"GLDS-145_rna-seq_FLT-SA-D1","gene-SAR_RS00030","gene",16692,"spaceflight"
168,"GLDS-145_rna-seq_FLT-SA-D2","gene-SAR_RS00030","gene",15104,"spaceflight"
169,"GLDS-145_rna-seq_FLT-SA-D3","gene-SAR_RS00030","gene",15386,"spaceflight"
170,"GLDS-145_rna-seq_FLT-SA-D4","gene-SAR_RS00030","gene",14911,"spaceflight"
171,"GLDS-145_rna-seq_FLT-SA-D5","gene-SAR_RS00030","gene",16984,"spaceflight"
172,"GLDS-145_rna-seq_FLT-SA-B2","gene-SAR_RS00035","gene",6367,"spaceflight"
173,"GLDS-145_rna-seq_FLT-SA-B3","gene-SAR_RS00035","gene",6390,"spaceflight"
174,"GLDS-145_rna-seq_FLT-SA-B4","gene-SAR_RS00035","gene",4548,"spaceflight"
175,"GLDS-145_rna-seq_FLT-SA-B5","gene-SAR_RS00035","gene",4897,"spaceflight"
176,"GLDS-145_rna-seq_FLT-SA-D1","gene-SAR_RS00035","gene",10440,"spaceflight"
177,"GLDS-145_rna-seq_FLT-SA-D2","gene-SAR_RS00035","gene",9548,"spaceflight"
178,"GLDS-145_rna-seq_FLT-SA-D3","gene-SAR_RS00035","gene",6740,"spaceflight"
179,"GLDS-145_rna-seq_FLT-SA-D4","gene-SAR_RS00035","gene",9822,"spaceflight"
180,"GLDS-145_rna-seq_FLT-SA-D5","gene-SAR_RS00035","gene",11612,"spaceflight"
181,"GLDS-145_rna-seq_FLT-SA-B2","gene-SAR_RS00040","gene",251,"spaceflight"
182,"GLDS-145_rna-seq_FLT-SA-B3","gene-SAR_RS00040","gene",280,"spaceflight"
183,"GLDS-145_rna-seq_FLT-SA-B4","gene-SAR_RS00040","gene",241,"spaceflight"
184,"GLDS-145_rna-seq_FLT-SA-B5","gene-SAR_RS00040","gene",310,"spaceflight"
185,"GLDS-145_rna-seq_FLT-SA-D1","gene-SAR_RS00040","gene",279,"spaceflight"
186,"GLDS-145_rna-seq_FLT-SA-D2","gene-SAR_RS00040","gene",306,"spaceflight"
187,"GLDS-145_rna-seq_FLT-SA-D3","gene-SAR_RS00040","gene",297,"spaceflight"
188,"GLDS-145_rna-seq_FLT-SA-D4","gene-SAR_RS00040","gene",265,"spaceflight"
189,"GLDS-145_rna-seq_FLT-SA-D5","gene-SAR_RS00040","gene",238,"spaceflight"
190,"GLDS-145_rna-seq_FLT-SA-B2","gene-SAR_RS00045","gene",6613,"spaceflight"
191,"GLDS-145_rna-seq_FLT-SA-B3","gene-SAR_RS00045","gene",6401,"spaceflight"
192,"GLDS-145_rna-seq_FLT-SA-B4","gene-SAR_RS00045","gene",4899,"spaceflight"
193,"GLDS-145_rna-seq_FLT-SA-B5","gene-SAR_RS00045","gene",3427,"spaceflight"
194,"GLDS-145_rna-seq_FLT-SA-D1","gene-SAR_RS00045","gene",8085,"spaceflight"
195,"GLDS-145_rna-seq_FLT-SA-D2","gene-SAR_RS00045","gene",8055,"spaceflight"
196,"GLDS-145_rna-seq_FLT-SA-D3","gene-SAR_RS00045","gene",5959,"spaceflight"
197,"GLDS-145_rna-seq_FLT-SA-D4","gene-SAR_RS00045","gene",8560,"spaceflight"
198,"GLDS-145_rna-seq_FLT-SA-D5","gene-SAR_RS00045","gene",9871,"spaceflight"
199,"GLDS-145_rna-seq_FLT-SA-B2","gene-SAR_RS00050","gene",140,"spaceflight"
200,"GLDS-145_rna-seq_FLT-SA-B3","gene-SAR_RS00050","gene",124,"spaceflight"
201,"GLDS-145_rna-seq_FLT-SA-B4","gene-SAR_RS00050","gene",121,"spaceflight"
202,"GLDS-145_rna-seq_FLT-SA-B5","gene-SAR_RS00050","gene",110,"spaceflight"
203,"GLDS-145_rna-seq_FLT-SA-D1","gene-SAR_RS00050","gene",187,"spaceflight"
204,"GLDS-145_rna-seq_FLT-SA-D2","gene-SAR_RS00050","gene",166,"spaceflight"
205,"GLDS-145_rna-seq_FLT-SA-D3","gene-SAR_RS00050","gene",130,"spaceflight"
206,"GLDS-145_rna-seq_FLT-SA-D4","gene-SAR_RS00050","gene",188,"spaceflight"
207,"GLDS-145_rna-seq_FLT-SA-D5","gene-SAR_RS00050","gene",178,"spaceflight"
208,"GLDS-145_rna-seq_FLT-SA-B2","gene-SAR_RS00055","gene",43,"spaceflight"
209,"GLDS-145_rna-seq_FLT-SA-B3","gene-SAR_RS00055","gene",57,"spaceflight"
210,"GLDS-145_rna-seq_FLT-SA-B4","gene-SAR_RS00055","gene",63,"spaceflight"
211,"GLDS-145_rna-seq_FLT-SA-B5","gene-SAR_RS00055","gene",42,"spaceflight"
212,"GLDS-145_rna-seq_FLT-SA-D1","gene-SAR_RS00055","gene",57,"spaceflight"
213,"GLDS-145_rna-seq_FLT-SA-D2","gene-SAR_RS00055","gene",71,"spaceflight"
214,"GLDS-145_rna-seq_FLT-SA-D3","gene-SAR_RS00055","gene",66,"spaceflight"
215,"GLDS-145_rna-seq_FLT-SA-D4","gene-SAR_RS00055","gene",63,"spaceflight"
216,"GLDS-145_rna-seq_FLT-SA-D5","gene-SAR_RS00055","gene",73,"spaceflight"
217,"GLDS-145_rna-seq_FLT-SA-B2","gene-SAR_RS00060","gene",624,"spaceflight"
218,"GLDS-145_rna-seq_FLT-SA-B3","gene-SAR_RS00060","gene",601,"spaceflight"
219,"GLDS-145_rna-seq_FLT-SA-B4","gene-SAR_RS00060","gene",635,"spaceflight"
220,"GLDS-145_rna-seq_FLT-SA-B5","gene-SAR_RS00060","gene",795,"spaceflight"
221,"GLDS-145_rna-seq_FLT-SA-D1","gene-SAR_RS00060","gene",780,"spaceflight"
222,"GLDS-145_rna-seq_FLT-SA-D2","gene-SAR_RS00060","gene",747,"spaceflight"
223,"GLDS-145_rna-seq_FLT-SA-D3","gene-SAR_RS00060","gene",867,"spaceflight"
224,"GLDS-145_rna-seq_FLT-SA-D4","gene-SAR_RS00060","gene",727,"spaceflight"
225,"GLDS-145_rna-seq_FLT-SA-D5","gene-SAR_RS00060","gene",645,"spaceflight"
226,"GLDS-145_rna-seq_FLT-SA-B2","gene-SAR_RS00065","gene",4124,"spaceflight"
227,"GLDS-145_rna-seq_FLT-SA-B3","gene-SAR_RS00065","gene",4557,"spaceflight"
228,"GLDS-145_rna-seq_FLT-SA-B4","gene-SAR_RS00065","gene",3801,"spaceflight"
229,"GLDS-145_rna-seq_FLT-SA-B5","gene-SAR_RS00065","gene",4263,"spaceflight"
230,"GLDS-145_rna-seq_FLT-SA-D1","gene-SAR_RS00065","gene",4395,"spaceflight"
231,"GLDS-145_rna-seq_FLT-SA-D2","gene-SAR_RS00065","gene",4621,"spaceflight"
232,"GLDS-145_rna-seq_FLT-SA-D3","gene-SAR_RS00065","gene",4283,"spaceflight"
233,"GLDS-145_rna-seq_FLT-SA-D4","gene-SAR_RS00065","gene",4308,"spaceflight"
234,"GLDS-145_rna-seq_FLT-SA-D5","gene-SAR_RS00065","gene",4178,"spaceflight"
235,"GLDS-145_rna-seq_FLT-SA-B2","gene-SAR_RS00070","gene",13014,"spaceflight"
236,"GLDS-145_rna-seq_FLT-SA-B3","gene-SAR_RS00070","gene",13841,"spaceflight"
237,"GLDS-145_rna-seq_FLT-SA-B4","gene-SAR_RS00070","gene",11916,"spaceflight"
238,"GLDS-145_rna-seq_FLT-SA-B5","gene-SAR_RS00070","gene",12736,"spaceflight"
239,"GLDS-145_rna-seq_FLT-SA-D1","gene-SAR_RS00070","gene",15026,"spaceflight"
240,"GLDS-145_rna-seq_FLT-SA-D2","gene-SAR_RS00070","gene",15965,"spaceflight"
241,"GLDS-145_rna-seq_FLT-SA-D3","gene-SAR_RS00070","gene",13774,"spaceflight"
242,"GLDS-145_rna-seq_FLT-SA-D4","gene-SAR_RS00070","gene",13983,"spaceflight"
243,"GLDS-145_rna-seq_FLT-SA-D5","gene-SAR_RS00070","gene",14993,"spaceflight"
244,"GLDS-145_rna-seq_FLT-SA-B2","gene-SAR_RS00075","gene",4208,"spaceflight"
245,"GLDS-145_rna-seq_FLT-SA-B3","gene-SAR_RS00075","gene",4044,"spaceflight"
246,"GLDS-145_rna-seq_FLT-SA-B4","gene-SAR_RS00075","gene",3716,"spaceflight"
247,"GLDS-145_rna-seq_FLT-SA-B5","gene-SAR_RS00075","gene",3525,"spaceflight"
248,"GLDS-145_rna-seq_FLT-SA-D1","gene-SAR_RS00075","gene",4776,"spaceflight"
249,"GLDS-145_rna-seq_FLT-SA-D2","gene-SAR_RS00075","gene",4767,"spaceflight"
250,"GLDS-145_rna-seq_FLT-SA-D3","gene-SAR_RS00075","gene",4302,"spaceflight"
251,"GLDS-145_rna-seq_FLT-SA-D4","gene-SAR_RS00075","gene",4321,"spaceflight"
