"id","muestra","feature_id","feature_type","conteo_crudo","superficie","tipo_tiempo"
"96","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3","gene-SAR_RS02950","gene","4","3","inflight3"
"97","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_9","gene-SAR_RS03060","gene","110","9","inflight3"
"98","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_9","gene-SAR_RS03120","gene","1","9","inflight3"
"99","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_9","gene-SAR_RS03490","gene","155","9","inflight3"
"100","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_0","gene-SAR_RS03580","gene","2","0","inflight3"
"101","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_4","gene-SAR_RS03600","gene","1","4","inflight3"
"102","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_6","gene-SAR_RS03600","gene","1","6","inflight3"
"103","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_6","gene-SAR_RS03630","gene","2","6","inflight3"
"104","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS15635","gene","198","5","inflight3"
"105","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS03635","gene","16","5","inflight3"
"106","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3","gene-SAR_RS03640","gene","430","3","inflight3"
"107","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_4","gene-SAR_RS03660","gene","2","4","inflight3"
"108","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_6","gene-SAR_RS03660","gene","1","6","inflight3"
"109","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_0","gene-SAR_RS03665","gene","2","0","inflight3"
"110","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_6","gene-SAR_RS03665","gene","2","6","inflight3"
"111","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_2","gene-SAR_RS03670","gene","116","2","inflight3"
"112","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS03670","gene","8","5","inflight3"
"113","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3","gene-SAR_RS03990","gene","247","3","inflight3"
"114","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS04100","gene","12","5","inflight3"
"115","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_8","gene-SAR_RS04105","gene","418","8","inflight3"
"116","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_6","gene-SAR_RS04145","gene","2","6","inflight3"
"117","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_4","gene-SAR_RS04205","gene","14","4","inflight3"
"118","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_2","gene-SAR_RS04225","gene","224","2","inflight3"
"119","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3","gene-SAR_RS04225","gene","158","3","inflight3"
"120","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS04225","gene","152","5","inflight3"
"121","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_9","gene-SAR_RS04225","gene","1","9","inflight3"
"122","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS04240","gene","18","5","inflight3"
"123","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3","gene-SAR_RS04245","gene","288","3","inflight3"
"124","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS04245","gene","155","5","inflight3"
"125","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_2","gene-SAR_RS04255","gene","226","2","inflight3"
"126","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_2","gene-SAR_RS15010","gene","422","2","inflight3"
"127","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3","gene-SAR_RS15010","gene","517","3","inflight3"
"128","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS15010","gene","4004","5","inflight3"
"129","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_6","gene-SAR_RS15010","gene","422","6","inflight3"
"130","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_7","gene-SAR_RS15010","gene","722","7","inflight3"
"131","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_9","gene-SAR_RS15010","gene","153","9","inflight3"
"132","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS04470","gene","45","5","inflight3"
"133","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_0","gene-SAR_RS04475","gene","284","0","inflight3"
"134","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3","gene-SAR_RS04475","gene","5","3","inflight3"
"135","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS04475","gene","22","5","inflight3"
"136","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_6","gene-SAR_RS04475","gene","426","6","inflight3"
"137","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3","gene-SAR_RS04515","gene","155","3","inflight3"
"138","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_0","gene-SAR_RS04560","gene","272","0","inflight3"
"139","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3","gene-SAR_RS04600","gene","21","3","inflight3"
"140","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_7","gene-SAR_RS04600","gene","1","7","inflight3"
"141","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3","gene-SAR_RS04655","gene","214","3","inflight3"
"142","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_1","gene-SAR_RS04685","gene","128","1","inflight3"
"143","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_9","gene-SAR_RS04685","gene","2","9","inflight3"
"144","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_0","gene-SAR_RS04745","gene","6","0","inflight3"
"145","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_6","gene-SAR_RS04895","gene","1","6","inflight3"
"146","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3","gene-SAR_RS04905","gene","2","3","inflight3"
"147","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_4","gene-SAR_RS04920","gene","256","4","inflight3"
"148","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_2","gene-SAR_RS04965","gene","267","2","inflight3"
"149","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS04965","gene","86","5","inflight3"
"150","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_1","gene-SAR_RS05025","gene","3","1","inflight3"
"151","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_7","gene-SAR_RS05175","gene","250","7","inflight3"
"152","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS05250","gene","34","5","inflight3"
"153","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS05255","gene","88","5","inflight3"
"154","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_9","gene-SAR_RS05255","gene","247","9","inflight3"
"155","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS05260","gene","21","5","inflight3"
"156","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS05365","gene","1","5","inflight3"
"157","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_0","gene-SAR_RS05385","gene","2","0","inflight3"
"158","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_9","gene-SAR_RS05440","gene","200","9","inflight3"
"159","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS05450","gene","94","5","inflight3"
"160","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_4","gene-SAR_RS05455","gene","2","4","inflight3"
"161","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_2","gene-SAR_RS05610","gene","1","2","inflight3"
"162","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS05620","gene","36","5","inflight3"
"163","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_4","gene-SAR_RS05650","gene","218","4","inflight3"
"164","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_4","gene-SAR_RS05890","gene","3","4","inflight3"
"165","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_2","gene-SAR_RS05895","gene","146","2","inflight3"
"166","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS05895","gene","23","5","inflight3"
"167","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS05930","gene","1","5","inflight3"
"168","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_9","gene-SAR_RS05935","gene","281","9","inflight3"
"169","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3","gene-SAR_RS06125","gene","64","3","inflight3"
"170","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS06125","gene","327","5","inflight3"
"171","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_4","gene-SAR_RS06170","gene","152","4","inflight3"
"172","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_1","gene-SAR_RS06195","gene","313","1","inflight3"
"173","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS06195","gene","40","5","inflight3"
"174","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS06215","gene","36","5","inflight3"
"175","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS06240","gene","3","5","inflight3"
"176","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_1","gene-SAR_RS06265","gene","2","1","inflight3"
"177","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_4","gene-SAR_RS06280","gene","641","4","inflight3"
"178","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_0","gene-SAR_RS06290","gene","2","0","inflight3"
"179","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_2","gene-SAR_RS06300","gene","354","2","inflight3"
"180","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS06300","gene","184","5","inflight3"
"181","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_7","gene-SAR_RS06300","gene","6","7","inflight3"
"182","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_6","gene-SAR_RS06310","gene","214","6","inflight3"
"183","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_7","gene-SAR_RS06315","gene","5","7","inflight3"
"184","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS06390","gene","38","5","inflight3"
"185","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS06455","gene","35","5","inflight3"
"186","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_7","gene-SAR_RS06470","gene","151","7","inflight3"
"187","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_4","gene-SAR_RS06500","gene","5","4","inflight3"
"188","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_6","gene-SAR_RS06825","gene","3","6","inflight3"
"189","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS06860","gene","42","5","inflight3"
"190","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_8","gene-SAR_RS06905","gene","1","8","inflight3"
"191","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_6","gene-SAR_RS07015","gene","498","6","inflight3"
"192","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS07070","gene","76","5","inflight3"
"193","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_0","gene-SAR_RS07085","gene","7","0","inflight3"
"194","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_4","gene-SAR_RS07130","gene","62","4","inflight3"
"195","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3","gene-SAR_RS07165","gene","4","3","inflight3"
"196","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS07165","gene","57","5","inflight3"
"197","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_9","gene-SAR_RS07165","gene","411","9","inflight3"
"198","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_1","gene-SAR_RS07205","gene","38","1","inflight3"
"199","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_9","gene-SAR_RS07215","gene","190","9","inflight3"
"200","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_7","gene-SAR_RS07255","gene","1","7","inflight3"
"201","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3","gene-SAR_RS07420","gene","256","3","inflight3"
"202","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_2","gene-SAR_RS15175","gene","204","2","inflight3"
"203","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3","gene-SAR_RS15175","gene","250","3","inflight3"
"204","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS15175","gene","251","5","inflight3"
"205","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3","gene-SAR_RS07580","gene","156","3","inflight3"
"206","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS07580","gene","98","5","inflight3"
"207","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_9","gene-SAR_RS07580","gene","170","9","inflight3"
"208","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS07595","gene","6","5","inflight3"
"209","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_6","gene-SAR_RS07595","gene","10","6","inflight3"
"210","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_4","gene-SAR_RS08010","gene","246","4","inflight3"
"211","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_1","gene-SAR_RS08260","gene","40","1","inflight3"
"212","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS08350","gene","74","5","inflight3"
"213","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_2","gene-SAR_RS08410","gene","49","2","inflight3"
"214","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3","gene-SAR_RS08410","gene","1","3","inflight3"
"215","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS08460","gene","374","5","inflight3"
"216","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS08485","gene","26","5","inflight3"
"217","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_6","gene-SAR_RS08620","gene","298","6","inflight3"
"218","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_2","gene-SAR_RS15215","gene","187","2","inflight3"
"219","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_3","gene-SAR_RS15215","gene","1419","3","inflight3"
"220","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_5","gene-SAR_RS15215","gene","3827","5","inflight3"
"221","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_7","gene-SAR_RS15215","gene","327","7","inflight3"
"222","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_9","gene-SAR_RS15215","gene","172","9","inflight3"
"223","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_0","gene-SAR_RS08760","gene","20","0","inflight3"
"224","GLDS-565_metatranscriptomics_metaT_I4_Capsule_FD3_4","gene-SAR_RS08765","gene","330","4","inflight3"
